,cell_id,ABCC11,ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,ADIPOQ,AGR3,AIF1,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP1,AQP3,AR,AVPR1A,BACE2,BANK1,BASP1,C1QA,C1QC,C2orf42,C5orf46,C6orf132,C15orf48,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CCR7,CD3E,CD3G,CD4,CD8A,CD9,CD14,CD19,CD27,CD68,CD69,CD79A,CD79B,CD80,CD83,CD86,CD93,CD163,CD247,CD274,CDC42EP1,CDH1,CEACAM6,CEACAM8,CENPF,CLEC9A,CLEC14A,CLECL1,CLIC6,CPA3,CRISPLD2,CTH,CTLA4,CTSG,CTTN,CX3CR1,CXCL5,CXCL12,CXCL16,CXCR4,CYTIP,DAPK3,DMKN,DNAAF1,DNTTIP1,DPT,DSC2,DSP,DST,DUSP2,DUSP5,EGFL7,EGFR,EIF4EBP1,ENAH,EPCAM,ERBB2,ERN1,ESM1,ESR1,FAM49A,FAM107B,FASN,FBLN1,FCER1A,FCER1G,FCGR3A,FGL2,FLNB,FOXA1,FOXC2,FOXP3,FSTL3,GATA3,GJB2,GLIPR1,GNLY,GPR183,GZMA,GZMK,HAVCR2,HMGA1,HOOK2,HOXD8,HOXD9,HPX,IGF1,IGSF6,IL2RA,IL2RG,IL3RA,IL7R,ITGAM,ITGAX,ITM2C,JUP,KARS,KDR,KIT,KLF5,KLRB1,KLRC1,KLRD1,KLRF1,KRT5,KRT6B,KRT7,KRT8,KRT14,KRT23,LAG3,LARS,LDHB,LGALSL,LILRA4,LPL,LPXN,LRRC15,LTB,LUM,LY86,LYPD3,LYZ,MAP3K8,MDM2,MKI67,MLPH,MMP1,MMP2,MMP12,MMRN2,MNDA,MRC1,MS4A1,MUC6,MYBPC1,MYH11,MYLK,MYO5B,MZB1,NARS,NCAM1,NDUFA4L2,NKG7,NOSTRIN,OCIAD2,OPRPN,OXTR,PCLAF,PDCD1,PDCD1LG2,PDE4A,PDGFRA,PDGFRB,PDK4,PECAM1,PELI1,PGR,PIGR,PIM1,PLD4,POSTN,PPARG,PRDM1,PRF1,PTGDS,PTN,PTPRC,PTRHD1,QARS,RAB30,RAMP2,RAPGEF3,RHOH,RORC,RTKN2,RUNX1,S100A4,S100A8,S100A14,SCD,SCGB2A1,SDC4,SEC11C,SEC24A,SELL,SERHL2,SERPINA3,SERPINB9,SFRP1,SFRP4,SH3YL1,SLAMF1,SLAMF7,SLC5A6,SLC25A37,SMAP2,SMS,SNAI1,SOX17,SOX18,SPIB,SQLE,SRPK1,SSTR2,STC1,SVIL,TAC1,TACSTD2,TCEAL7,TCF4,TCF7,TCIM,TCL1A,TENT5C,TFAP2A,THAP2,TIFA,TIGIT,TIMP4,TMEM147,TNFRSF17,TOMM7,TOP2A,TPD52,TPSAB1,TRAC,TRAF4,TRAPPC3,TRIB1,TUBA4A,TUBB2B,UCP1,USP53,VOPP1,VWF,WARS,ZEB1,ZEB2,ZNF562
82506,82506,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,4,23,0,0,0,0,4,5,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,12,10,1,5,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,2,5,1,2,1,0,1,22,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,1,2,0,0,2,0,17,0,0,0,0,0,1,3,0,0,2,0,1,0,1,1,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2
115273,115273,0,4,2,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,10,0,1,2,0,1,10,0,0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0,7,2,4,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,7,1,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,4,2,0,0,0,0,11,0,2,0,2,0,6,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,2,1,1,0,1,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,8,0,0,0,0,0,0,0,3,0,4,1,3,2
82509,82509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
82512,82512,6,1,2,4,1,0,0,0,0,1,0,0,0,1,1,5,0,1,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,3,4,1,0,1,0,3,2,1,8,52,0,0,0,0,3,7,0,0,0,0,0,5,12,0,0,2,3,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,3,6,2,0,0,0,0,0,0,0,6,0,28,16,1,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,5,4,0,1,1,1,0,13,8,1,1,0,3,0,0,7,0,1,4,0,0,0,0,3,0,0,0,0,0,9,0,0,0,7,0,1,1,1,0,0,0,5,0,2,0,11,0,1,5,3,1,1,2,0,4,0,0,1,0,0,4
82513,82513,3,13,0,4,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,2,5,0,4,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,0,4,1,1,0,4,0,0,3,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,6,18,0,0,0,0,2,5,1,0,0,1,0,1,1,0,0,2,1,1,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,3,0,0,0,0,4,0,15,3,1,4,0,0,1,0,0,0,1,1,0,14,0,3,2,0,3,1,2,2,3,0,0,0,0,0,0,1,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,10,2,6,0,2,1,1,1,19,0,0,1,2,0,0,1,0,0,1,4,0,0,0,0,2,2,0,0,1,1,12,0,0,0,4,0,1,1,0,0,0,0,2,0,5,3,4,0,2,3,1,1,0,0,0,1,0,0,0,0,2,1
82514,82514,16,4,2,5,4,0,0,0,0,0,0,2,0,0,0,12,0,2,0,0,6,4,0,3,0,1,0,0,0,0,0,0,0,0,6,0,0,0,9,3,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,3,3,0,0,0,0,2,2,4,16,55,1,0,0,0,0,2,0,0,0,0,0,1,14,0,1,1,2,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,29,16,1,4,0,3,0,0,0,0,0,0,0,1,0,12,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,8,6,3,0,2,3,1,0,39,1,0,0,0,3,0,0,5,0,0,1,0,0,0,0,5,3,0,0,0,0,9,0,0,0,13,0,1,2,0,0,0,0,2,0,2,1,13,0,1,1,0,3,6,1,0,0,0,0,2,0,0,1
115282,115282,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,3,0,0,4,1,1,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,1,3,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,0,5,0,2,1,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,0,3,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,1,0,2
82516,82516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
82517,82517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1
82518,82518,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,3,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,0,2,0,3,0,0,0,0,0,0,0,1,0,0,2,2,0
82521,82521,22,4,2,3,0,0,0,0,1,2,1,2,0,0,0,15,0,0,0,1,1,5,0,3,0,0,0,0,0,1,3,0,0,0,2,0,0,0,13,2,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,8,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,4,6,0,0,0,0,2,1,3,14,40,1,0,0,0,4,2,0,0,1,0,0,3,15,0,0,2,2,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,48,20,1,7,0,4,1,1,0,1,1,0,0,0,0,11,0,3,5,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,19,0,1,1,3,1,4,1,2,0,34,11,1,0,0,0,0,0,4,1,0,3,0,0,0,0,0,3,0,0,0,0,25,0,0,0,24,0,1,5,0,0,0,0,2,0,3,2,25,0,0,5,2,16,3,0,0,2,0,0,1,0,0,3
82525,82525,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82526,82526,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,1,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
82532,82532,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82533,82533,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,2,0,0,3,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,3,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,1,1,2,0,10,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,17,0,0,0,5,0,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,1,0,1,1,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,1,1,0,0,0,0,0,2,2,3,0
82536,82536,35,2,4,13,1,1,0,0,0,1,0,4,0,0,0,12,0,0,0,0,13,5,0,1,0,3,0,0,0,0,2,0,0,0,6,0,0,0,15,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,16,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,3,8,0,0,2,0,4,2,20,19,77,5,0,0,0,4,11,0,1,0,0,0,9,27,0,0,1,4,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,1,0,1,3,0,66,26,3,15,0,3,0,2,0,0,0,0,0,0,0,12,0,1,9,0,8,0,0,0,0,1,0,0,1,2,0,0,3,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,3,2,0,0,1,1,2,0,17,0,4,2,27,1,3,5,2,0,96,1,0,2,0,4,0,0,11,0,0,3,0,0,0,0,6,4,0,0,0,0,44,0,0,0,42,0,3,6,0,0,0,0,6,0,9,0,22,0,0,5,2,4,1,0,0,8,1,0,5,0,0,0
82537,82537,2,6,0,3,0,0,0,0,1,1,0,1,0,1,2,3,0,0,0,9,0,0,0,3,0,2,0,0,0,0,0,0,3,0,1,2,3,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0,1,1,0,1,3,0,0,0,0,0,0,8,0,1,0,1,2,0,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,30,0,1,0,0,0,1,0,0,0,1,2,0,0,0,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,1,2,0,0,0,6,2,1,2,3
82540,82540,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,0,0,1,0,0,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
115309,115309,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,2,0,5,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,9,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,5,4,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0
115312,115312,0,6,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,1,3,5,0,4,0,0,5,1,4,3,1,0,0,0,0,3,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,3,0,4,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,1,2,0,0,1,0,2,0,0,0,0,1,0,0,3,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,2,0,6,0,3,0,4,1,5,1,0,0,3,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,3,1,1,2,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,3,0,3,0,0,0,0,2,4,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0
82545,82545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
